label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
person,702,364,128,351,Scene1_1.png,1112,1108
weapon,669,449,90,96,Scene1_1.png,1112,1108
person,297,419,169,335,Scene1_10.png,1112,1108
weapon,419,565,37,41,Scene1_10.png,1112,1108
person,438,406,162,361,Scene1_11.png,1112,1108
weapon,563,497,44,38,Scene1_11.png,1112,1108
person,487,434,149,330,Scene1_12.png,1112,1108
weapon,599,465,47,32,Scene1_12.png,1112,1108
person,622,340,110,335,Scene1_2.png,1112,1108
weapon,568,434,99,59,Scene1_2.png,1112,1108
person,850,381,93,350,Scene1_3.png,1112,1108
weapon,800,469,103,91,Scene1_3.png,1112,1108
person,772,391,129,361,Scene1_4.png,1112,1108
weapon,727,486,107,85,Scene1_4.png,1112,1108
person,584,392,185,368,Scene1_5.png,1112,1108
weapon,528,497,132,91,Scene1_5.png,1112,1108
person,479,372,109,350,Scene1_6.png,1112,1108
weapon,552,496,77,66,Scene1_6.png,1112,1108
person,471,377,118,372,Scene1_7.png,1112,1108
weapon,543,496,97,82,Scene1_7.png,1112,1108
person,742,385,113,327,Scene1_8.png,1112,1108
weapon,703,484,43,41,Scene1_8.png,1112,1108
weapon,597,456,49,28,Scene1_9.png,1112,1108
person,151,564,106,195,Scene2_1.png,1094,1104
weapon,161,601,67,84,Scene2_1.png,1094,1104
person,458,768,310,324,Scene2_10.png,1094,1104
weapon,717,726,56,308,Scene2_10.png,1094,1104
person,499,619,205,345,Scene2_11.png,1094,1104
weapon,638,644,72,235,Scene2_11.png,1094,1104
person,522,540,135,299,Scene2_12.png,1094,1104
weapon,622,638,54,107,Scene2_12.png,1094,1104
person,5,575,84,265,Scene2_13.png,1094,1104
weapon,21,632,152,57,Scene2_13.png,1094,1104
person,46,584,198,292,Scene2_14.png,1094,1104
weapon,106,658,166,56,Scene2_14.png,1094,1104
person,221,676,169,260,Scene2_15.png,1094,1104
weapon,258,713,148,51,Scene2_15.png,1094,1104
person,406,605,125,256,Scene2_16.png,1094,1104
weapon,463,613,95,57,Scene2_16.png,1094,1104
person,551,562,97,209,Scene2_17.png,1094,1104
weapon,609,573,62,44,Scene2_17.png,1094,1104
person,424,518,98,266,Scene2_18.png,1094,1104
weapon,411,628,37,107,Scene2_18.png,1094,1104
person,433,561,123,304,Scene2_19.png,1094,1104
weapon,434,692,41,141,Scene2_19.png,1094,1104
person,221,536,67,203,Scene2_2.png,1094,1104
weapon,229,582,72,85,Scene2_2.png,1094,1104
person,444,576,163,351,Scene2_20.png,1094,1104
weapon,453,698,35,177,Scene2_20.png,1094,1104
person,466,635,184,359,Scene2_21.png,1094,1104
weapon,472,787,54,179,Scene2_21.png,1094,1104
person,507,745,224,354,Scene2_22.png,1094,1104
weapon,528,902,51,183,Scene2_22.png,1094,1104
person,32,597,302,384,Scene2_23.png,1094,1104
weapon,84,783,170,158,Scene2_23.png,1094,1104
person,138,551,243,424,Scene2_24.png,1094,1104
weapon,160,754,257,158,Scene2_24.png,1094,1104
person,318,506,245,414,Scene2_25.png,1094,1104
weapon,349,699,224,172,Scene2_25.png,1094,1104
person,510,475,198,413,Scene2_26.png,1094,1104
weapon,609,635,116,133,Scene2_26.png,1094,1104
person,708,455,130,328,Scene2_27.png,1094,1104
weapon,793,569,43,139,Scene2_27.png,1094,1104
person,37,686,273,361,Scene2_28.png,1094,1104
weapon,151,912,198,76,Scene2_28.png,1094,1104
weapon,188,622,254,397,Scene2_29.png,1094,1104
person,267,844,213,89,Scene2_29.png,1094,1104
person,345,519,107,191,Scene2_3.png,1094,1104
weapon,384,554,54,75,Scene2_3.png,1094,1104
person,443,468,81,202,Scene2_30.png,1094,1104
weapon,418,548,41,66,Scene2_30.png,1094,1104
person,361,478,89,183,Scene2_31.png,1094,1104
weapon,345,554,40,73,Scene2_31.png,1094,1104
person,201,598,94,195,Scene2_32.png,1094,1104
weapon,258,689,28,23,Scene2_32.png,1094,1104
person,368,551,70,170,Scene2_33.png,1094,1104
weapon,422,630,28,25,Scene2_33.png,1094,1104
person,522,487,62,164,Scene2_4.png,1094,1104
weapon,553,513,44,70,Scene2_4.png,1094,1104
person,351,956,176,148,Scene2_5.png,1094,1104
weapon,474,982,82,38,Scene2_5.png,1094,1104
person,397,838,158,219,Scene2_6.png,1094,1104
weapon,518,888,62,29,Scene2_6.png,1094,1104
person,457,731,109,244,Scene2_7.png,1094,1104
weapon,538,779,47,35,Scene2_7.png,1094,1104
person,493,614,92,216,Scene2_8.png,1094,1104
weapon,553,651,34,44,Scene2_8.png,1094,1104
person,499,908,325,196,Scene2_9.png,1094,1104
weapon,764,823,59,204,Scene2_9.png,1094,1104
person,0,716,114,287,Scene3_1.png,924,1358
weapon,0,752,141,65,Scene3_1.png,924,1358
person,563,554,112,299,Scene3_10.png,924,1358
weapon,606,606,96,137,Scene3_10.png,924,1358
person,670,557,123,277,Scene3_11.png,924,1358
weapon,745,602,63,130,Scene3_11.png,924,1358
person,810,607,114,349,Scene3_12.png,924,1358
weapon,738,656,151,182,Scene3_12.png,924,1358
person,693,574,169,323,Scene3_13.png,924,1358
weapon,662,637,135,162,Scene3_13.png,924,1358
person,572,537,116,277,Scene3_14.png,924,1358
weapon,507,592,108,150,Scene3_14.png,924,1358
person,466,526,113,250,Scene3_15.png,924,1358
weapon,428,573,94,150,Scene3_15.png,924,1358
person,521,520,102,295,Scene3_16.png,924,1358
weapon,527,588,97,144,Scene3_16.png,924,1358
person,479,546,107,340,Scene3_17.png,924,1358
weapon,482,629,117,155,Scene3_17.png,924,1358
person,447,577,127,344,Scene3_18.png,924,1358
weapon,462,664,119,173,Scene3_18.png,924,1358
person,403,591,164,404,Scene3_19.png,924,1358
weapon,424,707,155,198,Scene3_19.png,924,1358
person,59,674,161,300,Scene3_2.png,924,1368
weapon,100,723,118,53,Scene3_2.png,924,1368
person,826,568,98,265,Scene3_20.png,924,1358
weapon,839,647,56,99,Scene3_20.png,924,1358
person,778,570,117,265,Scene3_21.png,924,1358
weapon,790,649,54,106,Scene3_21.png,924,1358
person,695,573,122,265,Scene3_22.png,924,1358
weapon,696,658,69,108,Scene3_22.png,924,1358
person,623,573,106,281,Scene3_23.png,924,1358
weapon,626,646,56,110,Scene3_23.png,924,1358
person,502,599,144,289,Scene3_24.png,924,1358
weapon,529,736,43,88,Scene3_24.png,924,1358
person,388,693,130,368,Scene3_25.png,924,1358
weapon,399,777,101,218,Scene3_25.png,924,1358
person,344,753,168,401,Scene3_26.png,924,1358
weapon,361,857,153,222,Scene3_26.png,924,1358
person,10,607,119,254,Scene3_27.png,924,1358
weapon,60,673,123,103,Scene3_27.png,924,1358
person,204,594,148,269,Scene3_28.png,924,1368
weapon,268,670,118,96,Scene3_28.png,924,1368
person,280,577,139,254,Scene3_29.png,924,1358
weapon,343,644,115,110,Scene3_29.png,924,1358
person,249,617,131,276,Scene3_3.png,924,1358
weapon,289,665,115,41,Scene3_3.png,924,1358
person,397,559,137,263,Scene3_30.png,924,1358
weapon,449,611,121,124,Scene3_30.png,924,1358
person,491,548,144,262,Scene3_31.png,924,1358
weapon,540,593,112,121,Scene3_31.png,924,1358
person,377,566,106,256,Scene3_4.png,924,1358
weapon,415,622,124,41,Scene3_4.png,924,1358
person,475,552,79,247,Scene3_5.png,924,1358
weapon,493,599,133,87,Scene3_5.png,924,1358
person,0,618,124,271,Scene3_6.png,924,1368
weapon,24,694,116,96,Scene3_6.png,924,1368
person,166,598,129,292,Scene3_7.png,924,1358
weapon,204,653,115,115,Scene3_7.png,924,1358
person,304,570,120,317,Scene3_8.png,924,1358
weapon,348,628,119,139,Scene3_8.png,924,1358
person,443,566,119,297,Scene3_9.png,924,1358
weapon,489,619,99,142,Scene3_9.png,924,1358
person,824,480,64,188,Scene4_1.png,924,1358
weapon,824,507,40,99,Scene4_1.png,924,1358
person,416,459,74,182,Scene4_10.png,924,1358
weapon,421,489,76,108,Scene4_10.png,924,1358
person,415,501,94,236,Scene4_11.png,924,1358
weapon,433,552,99,119,Scene4_11.png,924,1358
person,774,454,86,231,Scene4_12.png,924,1358
weapon,686,447,83,220,Scene4_13.png,924,1358
person,583,437,67,213,Scene4_14.png,924,1358
person,352,417,85,202,Scene4_15.png,924,1358
person,213,408,106,191,Scene4_16.png,924,1358
person,100,406,88,171,Scene4_17.png,924,1358
person,-4,680,104,415,Scene4_18.png,924,1358
weapon,2,691,133,97,Scene4_18.png,924,1358
person,42,613,151,368,Scene4_19.png,924,1358
weapon,110,629,106,70,Scene4_19.png,924,1358
person,767,453,78,204,Scene4_2.png,924,1358
weapon,761,487,38,99,Scene4_2.png,924,1358
person,175,566,110,330,Scene4_20.png,924,1358
weapon,235,584,63,52,Scene4_20.png,924,1358
person,265,527,124,287,Scene4_21.png,924,1358
weapon,332,541,61,41,Scene4_21.png,924,1358
person,641,691,199,422,Scene4_22.png,924,1358
weapon,678,799,79,272,Scene4_22.png,924,1358
person,477,645,216,469,Scene4_23.png,924,1358
weapon,523,747,60,301,Scene4_23.png,924,1358
person,387,605,154,444,Scene4_24.png,924,1358
weapon,372,785,67,189,Scene4_24.png,924,1358
person,240,555,164,399,Scene4_25.png,924,1358
weapon,235,757,29,141,Scene4_25.png,924,1358
person,87,511,145,355,Scene4_26.png,924,1358
weapon,96,660,31,135,Scene4_26.png,924,1358
person,0,509,94,251,Scene4_27.png,924,1358
weapon,2,561,115,61,Scene4_27.png,924,1358
person,57,494,125,244,Scene4_28.png,924,1358
weapon,105,541,83,54,Scene4_28.png,924,1358
person,167,468,123,243,Scene4_29.png,924,1358
weapon,226,523,76,49,Scene4_29.png,924,1358
person,697,432,82,207,Scene4_3.png,924,1358
weapon,696,453,31,108,Scene4_3.png,924,1358
person,244,462,97,236,Scene4_30.png,924,1358
weapon,300,505,52,50,Scene4_30.png,924,1358
person,363,436,79,215,Scene4_31.png,924,1358
weapon,404,483,38,54,Scene4_31.png,924,1358
person,514,427,74,180,Scene4_32.png,924,1358
weapon,561,460,69,70,Scene4_32.png,924,1358
person,565,408,47,193,Scene4_4.png,924,1358
weapon,531,435,50,78,Scene4_4.png,924,1358
person,460,382,61,195,Scene4_5.png,924,1358
weapon,430,433,45,63,Scene4_5.png,924,1358
person,458,341,52,146,Scene4_6.png,924,1358
person,293,452,67,226,Scene4_7.png,924,1358
weapon,305,496,61,103,Scene4_7.png,924,1358
person,249,475,93,298,Scene4_8.png,924,1358
weapon,255,537,79,128,Scene4_8.png,924,1358
person,217,515,104,303,Scene4_9.png,924,1358
weapon,224,577,72,132,Scene4_9.png,924,1358
person,440,651,61,168,Scene5_1.png,924,1358
weapon,449,676,67,74,Scene5_1.png,924,1358
person,351,624,129,353,Scene5_10.png,924,1358
weapon,448,774,29,123,Scene5_10.png,924,1358
person,-2,680,123,317,Scene5_11.png,924,1358
person,119,669,114,281,Scene5_12.png,924,1358
person,312,674,99,218,Scene5_13.png,924,1358
person,393,669,115,207,Scene5_14.png,924,1358
person,574,671,65,152,Scene5_15.png,924,1358
person,6,665,130,215,Scene5_16.png,924,1358
weapon,74,711,79,70,Scene5_16.png,924,1358
person,393,664,61,171,Scene5_17.png,924,1358
weapon,431,712,41,49,Scene5_17.png,924,1358
person,487,660,72,159,Scene5_18.png,924,1358
weapon,532,705,40,47,Scene5_18.png,924,1358
person,419,656,88,283,Scene5_2.png,924,1358
weapon,442,702,83,112,Scene5_2.png,924,1358
person,402,655,114,381,Scene5_3.png,924,1358
weapon,424,720,96,142,Scene5_3.png,924,1358
person,350,673,168,532,Scene5_4.png,924,1358
weapon,395,775,105,188,Scene5_4.png,924,1358
person,406,667,102,296,Scene5_5.png,924,1358
weapon,446,718,70,139,Scene5_5.png,924,1358
person,415,674,126,361,Scene5_6.png,924,1358
weapon,453,729,83,171,Scene5_6.png,924,1358
person,0,610,270,741,Scene5_7.png,924,1358
weapon,173,1006,81,290,Scene5_7.png,924,1358
person,53,619,267,739,Scene5_8.png,924,1358
weapon,238,936,87,238,Scene5_8.png,924,1358
person,247,644,172,487,Scene5_9.png,924,1358
weapon,361,842,52,151,Scene5_9.png,924,1358
person,247,990,72,191,Scene6_1.png,924,1358
weapon,296,1053,32,31,Scene6_1.png,924,1358
person,305,1008,92,181,Scene6_10.png,924,1358
weapon,352,1037,65,50,Scene6_10.png,924,1358
person,395,1003,74,181,Scene6_11.png,924,1358
weapon,430,1032,65,58,Scene6_11.png,924,1358
person,520,988,88,162,Scene6_12.png,924,1358
