epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26236,0.96339,145.203,0.92621,0.00333,1,0.00459,0.00138,0.79746,8.31289,0.86442,8e-05,8e-05,8e-05
2,7.76915,0.75155,40.2135,0.83842,0.00333,1,0.00467,0.00047,0.7748,8.28108,0.861,0.00017703,0.00017703,0.00017703
3,9.17081,1.06265,60.2633,0.92773,0,0,0,0,0.74766,8.29757,0.85831,0.00027076,0.00027076,0.00027076
4,10.7068,1.15184,23.3723,1.05566,0.53439,1,0.995,0.4975,0.40197,6.67621,0.82775,0.00036119,0.00036119,0.00036119
5,12.4788,0.85987,16.0277,0.87593,0.13498,1,0.14214,0.12793,0.38815,6.58401,0.82153,0.00044832,0.00044832,0.00044832
6,14.209,1.34356,10.577,1.11227,0.48564,1,0.995,0.8955,0.53819,4.37412,0.85987,0.00053215,0.00053215,0.00053215
7,16.024,1.86407,8.4675,1.31565,0.00333,1,0.01228,0.00737,1.67559,18.2513,1.52255,0.00061268,0.00061268,0.00061268
8,17.7257,1.11229,7.87241,0.98391,0.0137,1,0.01531,0.01072,1.19058,70.3079,1.37947,0.00068991,0.00068991,0.00068991
9,19.3666,0.9063,6.54943,0.90453,0.0197,1,0.02073,0.01244,1.215,54.6913,1.21578,0.00076384,0.00076384,0.00076384
10,21.0747,0.63757,14.5715,0.68615,0,0,0,0,2.84596,366.095,1.63568,0.00083447,0.00083447,0.00083447
11,22.7642,1.48077,5.29527,1.23336,0,0,0,0,1.48806,1146.7,2.77844,0.0009018,0.0009018,0.0009018
12,24.473,1.10612,3.98672,1.15784,0,0,0,0,2.36706,870.861,2.40358,0.00096583,0.00096583,0.00096583
13,26.1674,1.03683,3.02531,1.04812,0,0,0,0,3.44345,524.982,4.55339,0.00102656,0.00102656,0.00102656
14,27.8205,1.8093,2.71904,1.86158,0,0,0,0,3.44345,524.982,4.55339,0.00108399,0.00108399,0.00108399
15,29.5086,1.12066,2.61343,1.31713,0.00333,1,0.00422,0.00211,1.7771,32.1405,1.81131,0.00113812,0.00113812,0.00113812
16,31.5237,1.37036,2.34505,1.31099,0.00333,1,0.01327,0.00886,1.45682,146.012,1.83727,0.00118895,0.00118895,0.00118895
17,33.2687,1.23453,2.50615,1.24537,0,0,0,0,3.89869,127.146,9.50583,0.00123648,0.00123648,0.00123648
18,34.9277,0.94495,2.16187,0.97693,0,0,0,0,3.89869,127.146,9.50583,0.00128071,0.00128071,0.00128071
19,36.6391,1.14,2.29132,1.04115,0,0,0,0,3.81258,241.957,13.6197,0.00132164,0.00132164,0.00132164
20,38.3272,1.01324,2.16746,1.15524,0.00352,1,0.01157,0.00347,2.36901,185.386,2.51562,0.00135927,0.00135927,0.00135927
21,39.9379,0.92869,1.94596,1.18186,0.00352,1,0.01157,0.00347,2.36901,185.386,2.51562,0.00134,0.00134,0.00134
22,41.5887,1.18683,1.71838,1.24649,0,0,0,0,1.55888,380.21,1.7317,0.001307,0.001307,0.001307
23,43.2396,1.1233,1.50416,1.26176,0.00333,1,0.00404,0.00162,1.92763,175.274,2.08138,0.001274,0.001274,0.001274
24,44.878,1.02374,1.21542,1.09782,0.00333,1,0.00404,0.00162,1.92763,175.274,2.08138,0.001241,0.001241,0.001241
25,46.6017,1.41569,1.71251,1.24521,0.95737,1,0.995,0.398,2.42355,2.29652,3.01868,0.001208,0.001208,0.001208
26,48.2338,0.86163,1.34181,0.94305,0.95737,1,0.995,0.398,2.42355,2.29652,3.01868,0.001175,0.001175,0.001175
27,49.9094,1.01497,1.12664,0.99347,0.13735,1,0.24875,0.12437,2.05898,4.66343,2.24019,0.001142,0.001142,0.001142
28,51.5512,0.90015,0.96498,0.97692,0.9207,1,0.995,0.6965,1.06625,1.21718,1.30533,0.001109,0.001109,0.001109
29,53.3222,0.87173,0.87762,0.86797,0.9207,1,0.995,0.6965,1.06625,1.21718,1.30533,0.001076,0.001076,0.001076
30,54.9695,1.28314,1.76164,1.27561,0.96005,1,0.995,0.796,1.06155,0.63021,1.32356,0.001043,0.001043,0.001043
31,56.6369,1.10713,1.11558,1.19417,0.89482,1,0.995,0.6965,0.96614,0.70958,1.26448,0.00101,0.00101,0.00101
32,58.3355,1.18788,1.02432,1.28662,0.89482,1,0.995,0.6965,0.96614,0.70958,1.26448,0.000977,0.000977,0.000977
33,60.0803,0.85481,1.74945,1.07461,0.85775,1,0.995,0.6965,1.14606,0.80075,1.34058,0.000944,0.000944,0.000944
34,61.7082,0.70716,1.11029,0.9418,0.85775,1,0.995,0.6965,1.14606,0.80075,1.34058,0.000911,0.000911,0.000911
35,63.3706,0.8441,0.84632,1.11972,0.85965,1,0.995,0.597,1.36708,0.80131,1.53988,0.000878,0.000878,0.000878
36,65.0424,0.89788,0.90705,1.10758,0.96713,1,0.995,0.6965,1.41201,0.85727,1.56317,0.000845,0.000845,0.000845
37,66.7136,1.2887,1.14492,1.28474,0.96713,1,0.995,0.6965,1.41201,0.85727,1.56317,0.000812,0.000812,0.000812
38,68.4177,1.38688,1.36147,1.57724,0.97015,1,0.995,0.4975,1.69486,0.81614,1.7189,0.000779,0.000779,0.000779
39,70.0736,0.71719,0.76149,0.87803,0.9699,1,0.995,0.597,1.79636,0.85522,1.74612,0.000746,0.000746,0.000746
40,71.7602,0.9655,1.03966,1.05293,0.9699,1,0.995,0.597,1.79636,0.85522,1.74612,0.000713,0.000713,0.000713
41,73.3907,0.98418,0.92351,1.05531,1,1,0.995,0.6965,1.63381,0.73639,1.57058,0.00068,0.00068,0.00068
42,75.3007,0.9613,0.85141,1.23651,1,1,0.995,0.6965,1.63381,0.73639,1.57058,0.000647,0.000647,0.000647
43,76.9595,0.82604,1.06199,0.97901,1,1,0.995,0.6965,1.43558,0.84112,1.4323,0.000614,0.000614,0.000614
44,78.6249,0.97517,0.8688,1.12125,0.95498,1,0.995,0.796,1.36102,0.80439,1.38395,0.000581,0.000581,0.000581
